,sigla_uf,soja_area_nao_desmat,tco2eq,lr_surplus,qtd_cars,year
0,AM,,33714.0,0.0,3,2021
1,MS,10109.837108483978,6243862874.399987,6394493.746702408,28971,2021
2,AP,,0.0,340.0923777594801,188,2022
3,SP,895.4886121071133,2654084383.2000027,6042670.28097359,80264,2020
4,RR,,35514061.199999996,318.58508435433123,533,2020
5,RJ,,0.0,10151.055191194268,136,2022
6,SC,1909.7990271094222,1850388102.0000067,1718637.768183427,94586,2021
7,RJ,,398304.0,10520.37585682283,138,2021
8,RJ,,397497.6,10683.038958018966,139,2020
9,TO,9235.665946988323,1354091706.0,1608681.2564901751,9324,2020
10,TO,9269.526087585631,1383100059.599999,1691763.3384626876,10162,2021
11,MA,34235.54602532607,1766603433.5999982,972510.1791336886,9021,2020
12,MT,195877.9631613278,23857257110.400055,6185225.7443518,49828,2020
13,RO,271.8036255481622,398589940.8000001,73960.43069317675,4711,2020
14,PA,17146.443589966322,1026680410.7999995,595511.6467661173,18952,2021
15,CE,,2692.8,3.8981528708719595,3,2020
16,AP,,17902807.2,97.06426115102401,163,2020
17,GO,10806.595244209479,8945570080.800016,7551940.625206403,57511,2020
18,RO,3204.4018537976685,0.0,126862.68597521023,7369,2022
19,SP,896.0651776275872,2712314876.400006,6110466.06762416,81461,2021
20,CE,,0.0,5.891077483506999,9,2022
21,PR,20261.649550337388,13080447370.799995,9060718.374925043,347856,2021
22,MG,2809.698114151244,3926169021.600002,3661598.9554538997,34175,2020
23,RS,19457.149017895394,14271120021.59999,9350270.503516164,361242,2021
24,BA,10491.868250266916,0.0,1539154.7138276729,5818,2022
25,PA,2342.0034743124384,749094231.5999999,263060.3753466948,6914,2020
26,MS,10136.330409556316,0.0,6384296.977743126,29093,2022
27,MG,3250.1349125025654,4295208409.199997,3980886.9800468218,37533,2021
28,RR,3.6159522819233527,77578113.60000002,1527.5972035692541,1736,2021
29,AP,,25552429.200000003,96.150301151024,188,2021
30,RR,3.6159522819233527,0.0,1593.142315443289,1738,2022
31,AM,,0.0,0.0,3,2022
32,SC,1786.4436961945416,0.0,1756020.2877068291,98486,2022
33,RS,19141.779067490672,14132885796.000082,9136163.946729898,359879,2020
34,MA,35782.40558137181,1870226251.2000031,1082181.7169077443,11267,2021
35,MT,240654.95721935088,0.0,6623431.2442846075,58671,2022
36,TO,9404.71049873586,0.0,1747370.5674818293,10798,2022
37,PI,24366.382219334755,1643307372.0,653706.8170833779,4644,2020
38,BA,9750.046622810978,2977089962.3999996,1444528.2885415072,5683,2020
39,PI,25168.200234775664,0.0,799571.1201950937,5886,2022
40,CE,,2660.4,3.8981528708719595,3,2021
41,PR,20410.95057699763,0.0,9084203.370883897,350422,2022
42,SC,1886.4325186762871,1826273584.799995,1692589.22786886,93100,2020
43,PI,24534.628048068655,1658731316.3999984,704548.9937928843,4667,2021
44,GO,11067.612007725258,9389732399.999979,7699184.081615341,59333,2021
45,SP,896.1257603222564,0.0,6149059.33803113,82460,2022
46,GO,12101.614159779569,0.0,7877606.390991774,62229,2022
47,MT,231277.8845044577,24362298989.999992,6450199.336436893,56845,2021
48,DF,2099.822586565476,454961595.59999985,183491.92061201105,2430,2021
49,MG,3576.8711035043784,0.0,4017885.3864764376,38563,2022
50,DF,2115.1061511896687,0.0,180033.67205641937,2464,2022
51,MS,10077.106582949884,6232747327.2000065,6274857.7650181055,28450,2020
52,PR,20174.392076964075,12994394900.39996,8998758.004254205,346204,2020
53,RS,20627.629589997166,0.0,9381558.617341584,364952,2022
54,DF,2093.954836321519,452677359.59999985,182827.4466541169,2412,2020
55,BA,9734.506564490177,2898277552.7999973,1467655.9709927286,5653,2021
56,RO,3202.2648605086256,462235715.99999946,118108.36423414583,7321,2021
57,MA,36333.46640470362,0.0,1188792.6329192885,12397,2022
58,AM,,1033.2,0.0,2,2020
59,PA,17385.366293228213,0.0,653741.3503506458,19008,2022
